酒店[酒店],jiu3dian4,P.W. 1 wine shop; public house 2 liquor store 3 hotel 4 restaurant M: jiā / 家
附近[附近],fu4jin4,N. vicinity
厕所[廁所],ce4suo3,N. lavatory; toilet; W.C. M: jiān / 间
银行[銀行],yin2hang2,N. bank M: jiā / 家
// HelloChinese/Personal Information,,
什么[什麼],shen2me5,PR. 1 what? 2 something; anything  CONS. 1 ∼ (A) yě/dōu any/every A 2 V1 ∼ V2 ∼ V2 whatever V1
叫[叫],jiao4,"V. 1 cry; shout 2 call; greet 3 hire; order 4 name; call 5 cause; make  PREF. , topo. male (of certain farm animals)  COV. by (in passive cons.)"
姓[姓],xing4,N.  | V. surname; family/clan name
谁[誰],shui2,PR. 1 who 2 someone; anyone
谁[誰],shei2,(coll. pronunciation)
哪[哪],na3,PR. which; what; how
国[國],guo2,N. 1 country; state; nation 2 Surname  B.F. 1 of the state; national 2 of our country; Chinese
多大[多大],duo1 da4,V.P. how big/much/old?
岁[歲],sui4,M. year (of age)  B.F. year
呢[呢],ne5,M.P. 1 (indicating continued state or action) 2 (marking questions about subject already mentioned)  M.P. 1 (indicating deliberate pause) 2 (indicating strong affirmation) 3 (inquiring about location)
老师[老師],lao3shi1,N. teacher M: ge / míng / ²wèi / 个 / 名 / 位
医生[醫生],yi1sheng1,N. doctor M: ge / míng / ²wèi / 个 / 名 / 位
学生[學生],xue2sheng5,N. 1 student; pupil 2 disciple; follower 3 topo. boy; lad M: ge / míng / ²wèi / 个 / 名 / 位
北京[北京],Bei3jing1,P.W. Beijing (Peking)
上海[上海],Shang4hai3,P.W. Shanghai
纽约[紐約],Niu3yue1,P.W. New York
伦敦[倫敦],Lun2dun1,P.W. London
// HelloChinese/Time,,
点[點],dian3,N. 1 a drop (of liquid) 2 a spot 3 dot stroke (in Chinese characters) 4 dot; decimal point; point 5 place 6 aspect; feature 7 appointed time 8 refreshments 9 lg. node; peak; point  M. 1 (for small amounts) 2 (of time) 3 (for items/matters) 4 (printer's point size)  V. 1 put (a dot) 2 drip 3 sow in holes 4 check one by one 5 select; choose 6 hint; point out; mention 7 light; burn; kindle 8 touch on briefly; skim  CONS. V-zhe ∼ polite command/reminder to V
分[分],fen1,"V. 1 divide; separate 2 distribute; allot 3 distinguish; differentiate; discriminate  M. (for units of length/area/weight/money/time/etc.) 1 fraction 2 one-tenth 3 percent 4 (slang) ten yuán (RMB) 5 point  B.F. 1 part 2 branch (office, etc.)"
现在[現在],xian4zai4,N. 1 now; at present; today 2 modern times; nowadays  ATTR. modern
起床[起床],qi3chuang2,V.O. get up from bed
睡觉[睡覺],shui4jiao4,V.O. go to bed; sleep
吃饭[吃飯],chi1fan4,V.O. 1 eat; have a meal 2 keep alive; make a living  N. livelihood
洗澡[洗澡],xi3zao3,V.O. take a bath
早上[早上],zao3shang5,N. morning  SUF. earlier
晚上[晚上],wan3shang5,N. evening
中午[中午],zhong1wu3,N. noon; midday
上午[上午],shang4wu3,N. morning; forenoon
下午[下午],xia4wu3,N. afternoon
// HelloChinese/Hometown,,
很[很],hen3,ADV. very; quite; awfully
